type,value,role,vuln_id,cve,campaigns,malware,actors,source_id,reference,first_seen
ipv4,60.186.152.35,scanner,VW-2024-0009,CVE-2021-43798,,,,greynoise_blog,https://www.greynoise.io/blog/coordinated-grafana-exploitation-attempts,2025-09-28
ipv4,122.231.163.197,scanner,VW-2024-0009,CVE-2021-43798,,,,greynoise_blog,https://www.greynoise.io/blog/coordinated-grafana-exploitation-attempts,2025-09-28
ipv4,185.208.158.206,scanner,VW-2025-0063,CVE-2025-24813,,,,uhwo_cyber,https://westoahu.hawaii.edu/cyber/vulnerability-research/vulnerabilities-weekly-summaries/active-exploitation-of-apache-tomcat-cve-2025-24813-vulnerability/,2025-04-01
ipv4,162.215.170.26,payload,VW-2025-0569,CVE-2025-55182,React2Shell,Mirai;XMRig,,greynoise_blog,https://www.greynoise.io/blog/cve-2025-55182-react2shell-opportunistic-exploitation-in-the-wild-what-the-greynoise-observation-grid-is-seeing-so-far,2025-12-05
ipv4,46.36.37.85,payload,VW-2025-0569,CVE-2025-55182,React2Shell,Mirai;XMRig,,greynoise_blog,https://www.greynoise.io/blog/cve-2025-55182-react2shell-opportunistic-exploitation-in-the-wild-what-the-greynoise-observation-grid-is-seeing-so-far,2025-12-05
ipv4,23.235.188.3,payload,VW-2025-0569,CVE-2025-55182,React2Shell,Mirai;XMRig,,greynoise_blog,https://www.greynoise.io/blog/cve-2025-55182-react2shell-opportunistic-exploitation-in-the-wild-what-the-greynoise-observation-grid-is-seeing-so-far,2025-12-05
ipv4,45.157.233.80,infrastructure,VW-2025-0569,CVE-2025-55182,React2Shell,Mirai;XMRig,,greynoise_blog,https://www.greynoise.io/blog/cve-2025-55182-react2shell-opportunistic-exploitation-in-the-wild-what-the-greynoise-observation-grid-is-seeing-so-far,2025-12-05
domain,vps-zap812595-1.zap-srv.com,payload,VW-2025-0569,CVE-2025-55182,React2Shell,Mirai;XMRig,,greynoise_blog,https://www.greynoise.io/blog/cve-2025-55182-react2shell-opportunistic-exploitation-in-the-wild-what-the-greynoise-observation-grid-is-seeing-so-far,2025-12-05
domain,2f7ac6.ceye.io,infrastructure,VW-2025-0569,CVE-2025-55182,React2Shell,Mirai;XMRig,,greynoise_blog,https://www.greynoise.io/blog/cve-2025-55182-react2shell-opportunistic-exploitation-in-the-wild-what-the-greynoise-observation-grid-is-seeing-so-far,2025-12-05
domain,5axzi7.dnslog.cn,infrastructure,VW-2025-0569,CVE-2025-55182,React2Shell,Mirai;XMRig,,greynoise_blog,https://www.greynoise.io/blog/cve-2025-55182-react2shell-opportunistic-exploitation-in-the-wild-what-the-greynoise-observation-grid-is-seeing-so-far,2025-12-05
domain,relay.dltsolutions.top,c2,VW-2025-2829,CVE-2025-5777,CitrixBleed 2 Weaponized by Initial Access Brokers,DragonForce,,huntress_blog,https://www.huntress.com/blog/citrixbleed-2-dragonforce-ransomware,
domain,relay.eurofin.digital,c2,VW-2025-2829,CVE-2025-5777,CitrixBleed 2 Weaponized by Initial Access Brokers,DragonForce,,huntress_blog,https://www.huntress.com/blog/citrixbleed-2-dragonforce-ransomware,
domain,vtps.us,c2,VW-2025-2829,CVE-2025-5777,CitrixBleed 2 Weaponized by Initial Access Brokers,DragonForce,,huntress_blog,https://www.huntress.com/blog/citrixbleed-2-dragonforce-ransomware,
