vuln_id,cve,status,vendors,products,title,published_at,fixed,poc_public,known_exploited,cisa_kev,cvss_score,vendor_severity,priority,sources,superseded_by,created_at,updated_at
VW-2023-0001,CVE-2023-20185,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco ACI Multi-Site CloudSec Encryption Information Disclosure Vulnerability,2023-07-05T16:00:00+00:00,true,false,false,false,7.4,,INFO,cisco:cisco-sa-aci-cloudsec-enc-vs5wn2sx,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2024-0001,CVE-2024-47822,active,Directus,directus,Access token from query string is inserted into logs,2024-10-08T12:52:21+00:00,true,false,false,false,4.2,medium,INFO,directus:ghsa-vw58-ph65-6rxp,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2025-0001,CVE-2025-20204,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Identity Services Engine Stored Cross-Site Scripting Vulnerabilities,2025-02-05T16:00:00+00:00,true,false,false,false,4.8,,INFO,cisco:cisco-sa-ise-xss-42tgsdmg,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2025-0002,CVE-2025-20205,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Identity Services Engine Stored Cross-Site Scripting Vulnerabilities,2025-02-05T16:00:00+00:00,true,false,false,false,4.8,,INFO,cisco:cisco-sa-ise-xss-42tgsdmg,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2025-0003,CVE-2025-53886,active,Directus,directus,Tokens are not redacted in Flow logs,2025-07-14T16:12:20+00:00,true,false,false,false,4.5,medium,INFO,directus:ghsa-f24x-rm6g-3w5v,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2025-0004,CVE-2025-49656,active,JVN,日本製品・国内調整された脆弱性,Apache Jena Fusekiにおけるパストラバーサルの脆弱性,2025-07-30T03:00:00+00:00,false,false,false,false,,,INFO,jvn:https-jvn.jp-jp-jvn90566559,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2025-0005,CVE-2025-64763,active,Envoy Project,github.com/envoyproxy/envoy,Forwarding of early CONNECT data in TCP proxy mode,2025-12-03T17:01:47+00:00,true,false,false,false,3.7,low,INFO,envoy-project:ghsa-rj35-4m94-77jh,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0001,CVE-2026-20055,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Packaged Contact Center Enterprise and Cisco Unified Contact Center Enterprise Cross-Site Scripting Vulnerabilities,2026-01-21T16:00:00+00:00,true,false,false,false,4.8,,INFO,cisco:cisco-sa-ucce-pcce-xss-2jvyg3ud,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0002,CVE-2026-20109,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Packaged Contact Center Enterprise and Cisco Unified Contact Center Enterprise Cross-Site Scripting Vulnerabilities,2026-01-21T16:00:00+00:00,true,false,false,false,4.8,,INFO,cisco:cisco-sa-ucce-pcce-xss-2jvyg3ud,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0003,CVE-2026-20122,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Catalyst SD-WAN Vulnerabilities,2026-02-25T16:00:00+00:00,true,true,true,true,9.8,,INFO,cisco:cisco-sa-sdwan-authbp-qwcx8d4v,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0004,CVE-2026-20126,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Catalyst SD-WAN Vulnerabilities,2026-02-25T16:00:00+00:00,true,true,true,true,9.8,,INFO,cisco:cisco-sa-sdwan-authbp-qwcx8d4v,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0005,CVE-2026-20128,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Catalyst SD-WAN Vulnerabilities,2026-02-25T16:00:00+00:00,true,true,true,true,9.8,,INFO,cisco:cisco-sa-sdwan-authbp-qwcx8d4v,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0006,CVE-2026-20129,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Catalyst SD-WAN Vulnerabilities,2026-02-25T16:00:00+00:00,true,true,true,true,9.8,,INFO,cisco:cisco-sa-sdwan-authbp-qwcx8d4v,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0007,CVE-2026-20133,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Catalyst SD-WAN Vulnerabilities,2026-02-25T16:00:00+00:00,true,true,true,true,9.8,,INFO,cisco:cisco-sa-sdwan-authbp-qwcx8d4v,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
VW-2026-0008,CVE-2026-20127,active,Cisco,ASA;AnyConnect;FTD;IOS;IOS XE;ISE;Meraki;NX-OS,Cisco Catalyst SD-WAN Controller Authentication Bypass Vulnerability,2026-02-25T16:00:00+00:00,true,false,true,true,10.0,,INFO,cisco:cisco-sa-sdwan-rpa-ehchtzk,,2026-07-18T06:23:39.283173+00:00,2026-07-18T06:23:39.283173+00:00
